V1,V2,V3
h=0,15.27,"hedge, bond, hedge fund, fund, yield, investor, portfolio, junk, auction, index, manager, treasurys, bet, volatility, mutual fund, fund manager, investment, trader, asset, trading"
h=0,16.59,"loan, loans, bank, lender, lending, mortgage, borrower, banks, banking, regulator, sheet, deposit, collateral, liquidity, paper, balance sheet, balance, default, insurance, institution"
h=0,10.74,"democrats, republicans, senate, voter, election, congress, white house, party, education, lawmaker, reform, leader, vote, opposition, campaign, protest, gop, tax, legislation, democrat"
h=0,9.44,"property, auto, card, estate, developer, car, home, building, store, construction, retailer, rent, consumer, builder, owner, auto maker, restaurant, customer, worker, payment"
h=0,15.04,"inflation, federal reserve, currency, european central bank, euro, economy, central bank, economist, international monetary, feed, recession, dollar, growth, gross domestic product, policy, economic, rate, deficit, reserve, economic growth"
h=0,13.79,"chief executive officer, acquisition, airline, merger, board, sec, initial public offering, shareholder, venture, partner, stake, carrier, acquire, telecom, internet, software, airlines, employee, accounting, stock exchange"
h=0,12.04,"woman, film, son, movie, love, friend, father, smile, train, wear, character, actor, girl, kid, daughter, writer, blood, wine, doctor, art"
h=0,7.1,"barrel, oil, crude, energy, gas, production, electricity, petroleum, oil price, gasoline, plant, coal, refinery, wind, utility, supplies, producer, natural gas, output, capacity"
h=1,8.64,"app, film, shipping, software, internet, phone, web, screen, movie, store, meat, device, vaccine, virus, cup, designer, drug, doctor, airline, camera"
h=1,17.96,"hedge, hedge fund, management, manager, shareholder, portfolio, acquisition, pension, bet, investor, equity, investment, fund manager, dividend, fund, stake, buyout, trading, trader, asset"
h=1,10.2,"democrats, republicans, vote, senate, tax, congress, election, legislation, voter, gop, irs, lobbyist, bill, lawmaker, committee, white house, campaign, administration, medicare, candidate"
h=1,9.91,"loan, mortgage, loans, lender, borrower, estate, housing, property, financing, buyer, insurer, payment, lending, card, debt, credit, insurance, real estate, creditor, home"
h=1,6.9,"student, school, college, teacher, child, education, parent, kid, art, woman, graduate, church, foundation, class, university, age, science, artist, society, father"
h=1,6.46,"fbi, prosecutor, court, lawsuit, justice, investigation, attorney, judge, justice department, lawyer, probe, investigator, fraud, enforcement, case, trial, suit, jury, sec, convict"
h=1,17.27,"federal reserve, yield, central bank, treasury, bond, european central bank, reserve, currency, rate, feed, euro, financial system, banks, interest rate, treasurys, liquidity, bank, bond market, dollar, inflation"
h=1,8.7,"soldier, army, troops, war, commander, weapon, attack, rebel, pentagon, intelligence, enemy, protest, guard, democracy, air, fire, command, minister, prisoner, regime"
